emp_id,average_standardized_rate
10056,-0.4529654226837392
10064,-0.1818175198881141
10074,-0.3903264376160991
10075,-0.2009220427349975
10081,-0.4445560181752241
10082,1.24461086960189
10091,0.1894444936362376
10093,1.647628572694907
10111,-0.3903264376160991
10130,-0.11682846687162911
10142,-0.43386089983685583
10149,-0.1818175198881141
10164,-0.7317244558362074
10175,-0.5423200609551059
10179,-0.03823330105762244
10182,-0.6965993981239658
10187,-0.6232652947179574
10194,-0.4581621309727458
10203,-0.14669246217587248
10204,-0.5773807645483557
10217,-0.15188917046487904
10233,-0.48809048039598085
10236,0.6139018816366492
10252,-0.6965993981239658
10258,-0.03588323310877752
10260,-0.43386089983685583
10266,-0.08696447156738579
10269,-0.5530151792934742
10275,-0.29027668100636417
10280,-0.4445560181752241
10285,-0.3093812038532475
10291,1.5535182268765289
10292,2.489966424421952
10296,0.19880413651179882
10306,0.6841669029494662
10321,-0.5530151792934742
10328,-0.6232652947179574
10329,-0.3093812038532475
10330,-0.5965496415142308
10331,-0.1818175198881141
10335,0.21381007889111925
10336,-0.42545149532834076
10341,-0.5530151792934742
10356,-0.8401836169544574
10359,1.1513800926159898
10366,0.21381007889111925
10369,0.04468288697697668
10371,-0.2412438087362457
10373,-0.39873584212461416
10381,-0.43379654571786413
10382,-0.7209649833788475
10384,-0.29027668100636417
10385,0.21930848894048097
10386,0.38748073477888384
10389,-0.39873584212461416
10403,-0.5965496415142308
10405,1.0308408894659067
10408,-0.7859540363953323
10413,-0.3146422662612458
10417,-0.02753818271925414
10418,-0.2604126857021208
10419,0.11925873233074603
10421,-0.1818175198881141
10423,-0.6965993981239658
10426,0.06473764819090605
10429,0.33302871246672927
10430,-0.35811237436301085
10432,3.581370891809623
10434,0.3230009193874497
10437,1.8317719051680104
10438,0.019580914635321005
10442,0.8360961721694813
10445,0.918789918451051
10447,0.13425996700137294
10449,-0.33374678910812916
10450,0.34136905514755905
10451,-0.30074935759170285
10452,0.0752746788952365
10455,-0.4987855987343491
10458,-0.33374678910812916
10461,1.0830860255749206
10476,-0.14237143995528
10477,-0.43386089983685583
10482,-0.011517647853895882
10484,-0.33374678910812916
10494,0.3778939424415995
10496,-0.44433357642219445
10497,-0.5965496415142308
10498,0.6901063137408232
10500,0.5491352703731938
10502,0.3614928781891738
10503,0.12562812073982826
10504,0.013868653305687281
10506,-0.43379654571786413
10507,0.8064546186182676
10508,-0.44433357642219445
10509,1.8900208061873727
10511,0.14479699770570334
10515,-0.24585633453755307
10516,-0.2009220427349975
10518,0.06729995971314039
10522,-0.3254017387186057
10523,-0.26034833158312903
20054,-0.4529654226837392
20061,-0.8401836169544574
30009,-0.6965993981239658
30026,0.9622624936069096
30039,-0.008369305753379075
30057,-0.3093812038532475
