emp_id,quantile_rank
10056,2
10064,5
10074,3
10075,5
10081,2
10082,9
10091,7
10093,9
10111,3
10130,5
10142,2
10149,5
10164,0
10175,1
10179,6
10182,0
10187,1
10194,2
10203,5
10204,1
10217,5
10233,1
10236,8
10252,0
10258,6
10260,2
10266,5
10269,1
10275,4
10280,2
10285,4
10291,9
10292,9
10296,7
10306,8
10321,1
10328,0
10329,4
10330,1
10331,5
10335,7
10336,3
10341,1
10356,0
10359,9
10366,7
10369,6
10371,4
10373,3
10381,2
10382,0
10384,4
10385,7
10386,8
10389,3
10403,1
10405,9
10408,0
10413,4
10417,6
10418,4
10419,7
10421,5
10423,0
10426,6
10429,7
10430,3
10432,9
10434,7
10437,9
10438,6
10442,8
10445,8
10447,7
10449,3
10450,8
10451,4
10452,6
10455,1
10458,3
10461,9
10476,5
10477,2
10482,6
10484,3
10494,8
10496,2
10497,1
10498,8
10500,8
10502,8
10503,7
10504,6
10506,3
10507,8
10508,2
10509,9
10511,7
10515,4
10516,5
10518,6
10522,3
10523,4
20054,2
20061,0
30009,0
30026,9
30039,6
30057,4
